id,oggetto,descrizione,categoria,priorita
1,Richiesta preventivo,Vorrei maggiori informazioni sull'offerta Premium. Cosa include e quali sono i costi?,Commerciale,Bassa
2,Problema pagamento online,Non ho ricevuto la fattura del mese di febbraio. Potete reinviarla o indicarmi dove scaricarla?,Amministrazione,Media
3,Aggiornamento dati di fatturazione,"Salve, risulta un addebito doppio per l'ordine ORD-40512. Potete verificare e indicarmi come procedere?",Amministrazione,Alta
4,Dettagli prodotto,Vorrei modificare l'ordine ORD-17331 (quantità/indirizzo). È ancora possibile?,Commerciale,Bassa
5,Problema pagamento online,In fattura manca l'indicazione dell'IVA o l'aliquota sembra errata per l'ordine ORD-74686. Potete controllare?,Amministrazione,Bassa
6,Aggiornamento dati di fatturazione,In fattura manca l'indicazione dell'IVA o l'aliquota sembra errata per l'ordine ORD-33416. Potete controllare?,Amministrazione,Bassa
7,Richiesta preventivo,Potete inviarmi un preventivo per 107 licenze con durata 24 mesi per la mia azienda Beta Spa?,Commerciale,Bassa
8,Upgrade piano,Mi servono dettagli tecnici sul prodotto CloudSync: compatibilità e requisiti minimi.,Commerciale,Media
9,Sollecito fattura,Potete fornirmi le coordinate per effettuare un bonifico e la causale corretta per l'ordine ORD-65519?,Amministrazione,Bassa
10,Problema integrazione API,L'app si blocca quando apro la sezione 'Impostazioni'. Potete verificare? Succede da 21/09/2024.,Tecnico,Bassa
11,Disponibilità prodotto,Sono cliente da tempo: è previsto uno sconto per il rinnovo del piano Basic?,Commerciale,Bassa
12,Cambio intestazione fattura,Chiedo il rimborso per l'ordine ORD-85880 annullato. Vorrei sapere tempi e modalità di accredito.,Amministrazione,Bassa
13,Verifica pagamento,In fattura manca l'indicazione dell'IVA o l'aliquota sembra errata per l'ordine ORD-37938. Potete controllare?,Amministrazione,Bassa
14,Crash dell'app,Durante il caricamento dei dati ottengo errore 'Gateway Timeout' e l'operazione non si completa.,Tecnico,Alta
15,Sconto per rinnovo,Vorrei fare upgrade dal piano Enterprise al piano Premium. Come funziona la fatturazione?,Commerciale,Media
16,Errore accesso account,Il login va in timeout e non ricevo il codice OTP. Ho provato più volte senza successo.,Tecnico,Media
17,Aggiornamento dati di fatturazione,Potete fornirmi le coordinate per effettuare un bonifico e la causale corretta per l'ordine ORD-94080?,Amministrazione,Bassa
18,Dettagli IVA in fattura,In fattura manca l'indicazione dell'IVA o l'aliquota sembra errata per l'ordine ORD-97900. Potete controllare?,Amministrazione,Bassa
19,Sconto per rinnovo,Non mi è chiaro il prezzo finale: include IVA e costi di spedizione per Firenze?,Commerciale,Bassa
20,Malfunzionamento applicazione,Durante il caricamento dei dati ottengo errore 'Token scaduto' e l'operazione non si completa.,Tecnico,Bassa
21,Upgrade piano,Il prodotto ProSuite è disponibile a magazzino? Quando torna disponibile se esaurito?,Commerciale,Media
22,Problema integrazione API,Le prestazioni sono molto lente: per aprire una pagina ci mette oltre 13 secondi.,Tecnico,Bassa
23,Errore accesso account,Durante il caricamento dei dati ottengo errore 'Autenticazione fallita' e l'operazione non si completa.,Tecnico,Bassa
24,Problema login,Le prestazioni sono molto lente: per aprire una pagina ci mette oltre 16 secondi.,Tecnico,Bassa
25,Servizio non disponibile,L'app si blocca quando apro la sezione 'Fatture'. Potete verificare? Succede da 01/12/2026.,Tecnico,Alta
26,Problema login,L'app va in crash subito dopo l'avvio su Android 11. Allego la descrizione del problema.,Tecnico,Alta
27,Dati per bonifico,In fattura manca l'indicazione dell'IVA o l'aliquota sembra errata per l'ordine ORD-66148. Potete controllare?,Amministrazione,Bassa
28,Errore durante il caricamento,L'app si blocca quando apro la sezione 'Impostazioni'. Potete verificare? Succede da 15/04/2025.,Tecnico,Bassa
29,Sollecito fattura,È possibile emettere una nota di credito per la fattura FT-9041/2025 a causa di un reso?,Amministrazione,Media
30,Servizio non disponibile,Richiesta urgente. Durante il caricamento dei dati ottengo errore 'Autenticazione fallita' e l'operazione non si completa.,Tecnico,Alta
31,Dettagli IVA in fattura,Problema bloccante. Dovrei aggiornare i dati di fatturazione (P.IVA/codice fiscale) per l'account user597@azienda.it. Come posso fare?,Amministrazione,Bassa
